City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ketchikan,55.3422,-131.6461,12.26,76,40,5.14,US,1727482916
1,guerrero negro,27.9769,-114.0611,20.81,77,15,10.04,MX,1727482917
2,kuchinarai,16.541,104.05,25.7,90,34,0.55,TH,1727482918
3,isafjordur,66.0755,-23.124,-0.48,81,96,3.92,IS,1727482921
4,totness,5.8833,-56.3167,27.62,81,100,4.92,SR,1727482923
5,adamstown,-25.066,-130.1015,21.19,82,79,4.66,PN,1727482924
6,margaret river,-33.95,115.0667,12.78,54,100,5.76,AU,1727482925
7,tazacorte,28.629,-17.9293,22.54,95,20,4.12,ES,1727482927
8,bilibino,68.0546,166.4372,-2.57,61,13,1.64,RU,1727482928
9,bubaque,11.2833,-15.8333,26.98,81,88,3.06,GW,1727482929
10,waitangi,-43.9535,-176.5597,9.34,80,81,3.13,NZ,1727482931
11,qaqortoq,60.7167,-46.0333,3.66,84,64,1.62,GL,1727482932
12,kalmunai,7.4167,81.8167,26.95,81,100,1.51,LK,1727482933
13,callao,-12.0667,-77.15,19.29,82,75,5.66,PE,1727482935
14,strezhevoy,60.7333,77.5889,3.73,92,96,4.07,RU,1727482936
15,iqaluit,63.7506,-68.5145,5.85,86,75,1.54,CA,1727482937
16,howrah,22.5892,88.3103,28.0,94,40,2.06,IN,1727482939
17,saint-denis,48.9167,2.3333,11.43,88,0,4.12,FR,1727482941
18,medina,24.4686,39.6142,31.24,11,0,3.09,SA,1727482943
19,kununurra,-15.7667,128.7333,30.99,62,15,1.54,AU,1727482944
20,keflavik,64.0049,-22.5624,6.24,75,0,1.54,IS,1727482946
21,port-aux-francais,-49.35,70.2167,1.81,67,46,16.72,TF,1727482947
22,cockburn town,21.4612,-71.1419,29.55,77,68,7.99,TC,1727482948
23,limassol,34.675,33.0333,22.04,60,0,1.54,CY,1727482950
24,makokou,0.5738,12.8642,20.68,99,97,0.95,GA,1727482951
25,edinburgh of the seven seas,-37.0676,-12.3116,11.17,61,93,5.68,SH,1727482952
26,klaksvik,62.2266,-6.589,5.47,76,100,11.06,FO,1727482954
27,hermanus,-34.4187,19.2345,13.78,87,44,4.61,ZA,1727482955
28,xilin hot,43.9667,116.0333,14.58,78,81,4.72,CN,1727482956
29,bredasdorp,-34.5322,20.0403,11.79,92,78,1.79,ZA,1727482958
30,vila franca do campo,37.7167,-25.4333,23.23,93,66,3.98,PT,1727482959
31,hawaiian paradise park,19.5933,-154.9731,28.26,76,100,1.54,US,1727482960
32,alotau,-10.3069,150.4462,28.75,75,93,2.33,PG,1727482962
33,ribeira grande,38.5167,-28.7,24.32,89,80,8.49,PT,1727482963
34,grytviken,-54.2811,-36.5092,1.37,83,50,7.07,GS,1727482964
35,shingu,33.7333,135.9833,25.74,77,100,1.84,JP,1727482966
36,luancheng,37.8792,114.6517,21.47,73,100,0.32,CN,1727482967
37,okhotsk,59.3833,143.3,9.25,81,100,1.79,RU,1727482968
38,nuriootpa,-34.4833,139.0,18.81,33,52,10.34,AU,1727482970
39,auriflama,-20.6856,-50.5547,27.28,35,0,4.66,BR,1727482971
40,conceicao do araguaia,-8.2578,-49.2647,28.99,41,41,1.64,BR,1727482973
41,nykarleby,63.5228,22.5307,7.75,84,100,5.81,FI,1727482974
42,kavaratti,10.5669,72.642,28.19,77,78,5.8,IN,1727482975
43,longyearbyen,78.2186,15.6401,-1.09,64,40,5.14,SJ,1727482977
44,kapuskasing,49.4169,-82.4331,19.05,82,0,2.06,CA,1727482978
45,montepuez,-13.1256,38.9997,18.89,87,1,1.72,MZ,1727482979
46,yeniseysk,58.4497,92.1703,-1.6,90,67,1.21,RU,1727482981
47,iskateley,67.6803,53.1512,10.96,92,85,7.49,RU,1727482982
48,holualoa,19.6228,-155.9522,27.68,78,40,4.12,US,1727482983
49,san lawrenz,36.0553,14.204,24.92,93,10,3.29,MT,1727482985
50,ushuaia,-54.8,-68.3,-1.19,43,0,1.54,AR,1727482986
51,whitehorse,60.7161,-135.0538,8.39,63,100,1.79,CA,1727482689
52,weno,7.4515,151.8468,31.97,84,75,0.0,FM,1727482989
53,beipiao,41.7919,120.7792,16.81,74,38,2.17,CN,1727482990
54,constitucion,-35.3333,-72.4167,10.32,59,88,4.45,CL,1727482993
55,monrovia,6.3005,-10.7969,24.92,89,100,2.66,LR,1727482994
56,viqueque,-8.8673,126.3658,27.78,69,48,2.6,TL,1727482996
57,namibe,-15.1961,12.1522,20.51,87,86,1.56,AO,1727482997
58,st. john's,47.5649,-52.7093,11.55,87,100,3.09,CA,1727482822
59,sinop,41.7711,34.8709,16.91,74,0,3.36,TR,1727483000
60,mollendo,-17.0231,-72.0147,15.11,83,28,2.95,PE,1727483001
61,askino,56.0901,56.5783,7.25,62,15,3.68,RU,1727483002
62,jamestown,42.097,-79.2353,19.45,81,20,6.17,US,1727483004
63,ancud,-41.8697,-73.8203,9.38,94,76,4.87,CL,1727483005
64,mil'kovo,55.6078,37.7956,16.86,62,100,7.87,RU,1727483007
65,acarau,-2.8856,-40.12,25.39,81,69,8.16,BR,1727483008
66,tazovsky,67.4667,78.7,5.49,95,100,8.85,RU,1727483009
67,badger,64.8,-147.5333,6.14,86,100,1.54,US,1727483011
68,puerto natales,-51.7236,-72.4875,1.73,82,94,4.71,CL,1727483012
69,timimoun,29.2639,0.231,32.69,22,58,2.23,DZ,1727483013
70,tura,25.5198,90.2201,22.44,98,100,1.17,IN,1727483015
71,keningau,5.3378,116.1602,24.12,93,41,0.87,MY,1727483016
72,bethel,41.3712,-73.414,19.2,86,100,0.45,US,1727483017
73,padre bernardo,-15.35,-48.5,29.86,21,23,1.21,BR,1727483019
74,invercargill,-46.4,168.35,11.12,81,97,9.39,NZ,1727483022
75,alice springs,-23.7,133.8833,24.75,19,75,4.12,AU,1727482887
76,thompson,55.7435,-97.8558,14.09,67,75,1.54,CA,1727483026
77,punta arenas,-53.15,-70.9167,0.06,80,40,3.09,CL,1727483027
78,hadibu,12.65,54.0333,25.26,83,35,6.21,YE,1727483030
79,tongliao,43.6125,122.2653,16.5,61,16,4.27,CN,1727483033
80,utrik,11.2278,169.8474,28.57,79,70,6.81,MH,1727483034
81,bel ombre,-4.6167,55.4167,26.91,78,40,5.66,SC,1727483036
82,bryne,58.7354,5.6477,5.87,85,40,5.66,NO,1727483037
83,puerto ayora,-0.7393,-90.3518,20.86,95,99,2.24,EC,1727483039
84,chengde,40.9725,117.9361,15.66,82,93,1.0,CN,1727483040
85,mahdishahr,35.7108,53.3556,15.46,68,99,1.27,IR,1727483041
86,ghat,24.9647,10.1728,32.52,26,81,2.08,LY,1727483043
87,uribia,11.7139,-72.266,30.38,62,66,6.74,CO,1727483044
88,vredendal,-31.6683,18.5012,12.3,92,100,1.61,ZA,1727483047
89,fale old settlement,-9.3852,-171.2468,27.93,75,33,4.64,TK,1727483049
90,qamdo,31.1667,97.2333,7.07,80,90,1.68,CN,1727483051
91,pangody,65.85,74.4859,5.55,98,96,4.81,RU,1727483052
92,san patricio,28.017,-97.5169,27.97,35,0,2.13,US,1727483054
93,stanley,54.868,-1.6985,4.18,82,0,3.09,GB,1727483055
94,parang,7.3704,124.2697,27.05,83,63,1.48,PH,1727483056
95,barra de santo antonio,-9.4047,-35.5072,24.27,79,8,4.67,BR,1727483058
96,yellowknife,62.456,-114.3525,8.56,76,20,5.66,CA,1727482979
97,vila velha,-20.3297,-40.2925,24.97,84,0,6.26,BR,1727483060
98,uturoa,-16.7333,-151.4333,26.53,79,6,5.04,PF,1727483062
99,pisco,-13.7,-76.2167,17.03,82,67,3.6,PE,1727483063
100,salekhard,66.53,66.6019,8.31,87,35,3.93,RU,1727483065
101,wailua homesteads,22.0669,-159.378,28.44,75,20,5.66,US,1727483066
102,atafu village,-8.5421,-172.5159,27.86,76,76,4.62,TK,1727483067
103,olonkinbyen,70.9221,-8.7187,-1.28,77,100,11.13,SJ,1727483069
104,san rafael,-34.6177,-68.3301,20.83,17,5,3.12,AR,1727483070
105,sitangkai,4.6628,119.3928,28.28,74,64,0.89,PH,1727483071
106,kailua-kona,19.6406,-155.9956,29.75,72,40,4.12,US,1727483073
107,al manqaf,29.0961,48.1328,32.73,32,0,6.02,KW,1727483074
108,olinda,-8.0089,-34.8553,25.85,78,75,4.63,BR,1727483075
109,kattivakkam,13.2167,80.3167,27.76,92,63,3.01,IN,1727483077
110,novosmolinskiy,56.2841,43.0507,18.26,24,100,7.83,RU,1727483078
111,tiksi,71.6872,128.8694,-1.45,91,82,4.83,RU,1727483080
112,hami,42.8,93.45,11.39,41,100,8.16,CN,1727483081
113,vorkuta,67.5,64.0,9.31,85,99,5.29,RU,1727483082
114,ituango,7.1712,-75.764,19.58,98,93,1.0,CO,1727483084
115,udachny,66.4167,112.4,-0.86,71,51,3.02,RU,1727483085
116,souillac,-20.5167,57.5167,22.21,88,40,3.09,MU,1727483086
117,albany,42.6001,-73.9662,17.23,73,100,1.36,US,1727483088
118,port alfred,-33.5906,26.891,15.1,94,100,0.89,ZA,1727483089
119,bantilan,14.7519,121.6656,28.14,80,80,3.59,PH,1727483092
120,kingston,17.997,-76.7936,28.53,79,20,3.6,JM,1727483093
121,gandu,-13.7439,-39.4867,18.82,99,18,0.31,BR,1727483096
122,arraial do cabo,-22.9661,-42.0278,22.98,73,75,4.63,BR,1727483099
123,ola,59.5833,151.2833,7.9,69,0,1.7,RU,1727483100
124,avarua,-21.2078,-159.775,24.03,64,20,4.63,CK,1727483102
125,san buenaventura,27.0833,-101.5333,30.26,26,0,5.15,MX,1727483103
126,papatowai,-46.5619,169.4708,11.67,65,73,7.26,NZ,1727483104
127,najran,17.4924,44.1277,21.75,24,15,1.04,SA,1727483106
128,ust-nera,64.5667,143.2,5.22,74,99,4.56,RU,1727483107
129,ryotsu-minato,38.0833,138.4333,22.56,69,65,5.63,JP,1727483108
130,college,64.8569,-147.8028,5.61,82,100,1.54,US,1727483069
131,saipan,15.1355,145.701,31.39,74,20,4.12,MP,1727483111
132,geraldton,-28.7667,114.6,14.23,77,22,3.09,AU,1727482980
133,antsiranana,-12.2787,49.2917,21.55,76,7,5.68,MG,1727483115
134,queenstown,-31.8976,26.8753,16.14,44,100,3.18,ZA,1727483117
135,igarka,67.4667,86.5833,1.93,94,100,8.02,RU,1727483118
136,ed damer,17.5928,33.9592,33.65,30,3,3.8,SD,1727483119
137,castillos,-34.1667,-53.8333,11.05,93,23,1.83,UY,1727483121
138,masterton,-40.9597,175.6575,15.35,49,2,0.14,NZ,1727483122
139,ta`u,-14.2336,-169.5144,26.64,79,90,7.02,AS,1727483123
140,gaogou,34.0175,119.1886,21.82,71,70,3.59,CN,1727483125
141,ales,44.1333,4.0833,12.85,66,50,0.29,FR,1727483126
142,minas de marcona,-15.2119,-75.1103,13.11,73,36,4.88,PE,1727483127
143,port elizabeth,-33.918,25.5701,15.73,99,100,2.06,ZA,1727483129
144,lampasas,31.2168,-98.2336,29.05,44,0,3.99,US,1727483130
145,santa rosalia,27.3167,-112.2833,34.82,24,0,2.78,MX,1727483132
146,mejit,10.2753,170.8646,28.79,74,30,4.15,MH,1727483133
147,new norfolk,-42.7826,147.0587,15.51,33,100,1.73,AU,1727483134
148,krychaw,53.6945,31.7099,16.93,75,100,3.03,BY,1727483136
149,afaahiti,-17.75,-149.2833,25.19,80,23,5.68,PF,1727483137
150,laguna,38.421,-121.4238,36.13,19,0,1.54,US,1727483138
151,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,71,20,1.0,RU,1727483014
152,thinadhoo,0.5333,72.9333,27.87,79,84,5.2,MV,1727483141
153,luderitz,-26.6481,15.1594,17.65,69,100,4.18,NA,1727483142
154,labrador city,52.9463,-66.9114,10.95,76,100,1.54,CA,1727483144
155,puerto baquerizo moreno,-0.9,-89.6,19.95,91,93,5.43,EC,1727483145
156,at taraf,25.3628,49.725,29.3,20,6,2.39,SA,1727483146
157,blackmans bay,-43.0167,147.3167,14.85,59,100,1.34,AU,1727483148
158,katsuura,35.1333,140.3,23.45,92,100,5.89,JP,1727483149
159,beykonak,36.3257,30.303,26.8,50,0,2.22,TR,1727483150
160,praia,14.9215,-23.5087,26.3,94,75,5.14,CV,1727483152
161,aykhal,66.0,111.5,-2.23,80,43,4.42,RU,1727483153
162,whangarei,-35.7317,174.3239,16.82,43,1,3.49,NZ,1727483155
163,porto novo,6.4965,2.6036,24.9,89,97,3.33,BJ,1727483156
164,smirnykh,49.75,142.8333,13.47,83,81,1.49,RU,1727483157
165,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1727482974
166,bonthe,7.5264,-12.505,24.36,95,100,2.12,SL,1727483161
167,coahuayana de hidalgo,18.7,-103.6583,23.68,95,100,0.4,MX,1727483163
168,aasiaat,68.7098,-52.8699,2.17,98,100,1.84,GL,1727482834
169,petoskey,45.3733,-84.9553,19.01,69,0,3.09,US,1727483165
170,ohara,35.25,140.3833,23.64,89,100,6.67,JP,1727483168
171,nova sintra,14.8667,-24.7167,23.92,82,99,5.6,CV,1727482825
172,lihue,21.9789,-159.3672,28.77,70,20,5.66,US,1727483051
173,ulaangom,49.9811,92.0667,1.48,68,100,2.71,MN,1727483013
174,harrison,30.4091,-89.0436,26.04,51,0,2.57,US,1727483175
175,horsham,51.064,-0.3272,7.06,81,0,2.57,GB,1727483176
176,rongelap,11.1635,166.8941,28.68,77,36,6.18,MH,1727483177
177,lieksa,63.3167,30.0167,12.77,92,100,10.68,FI,1727483178
178,west island,-12.1568,96.8225,25.99,69,100,4.63,CC,1727482813
179,hasaki,35.7333,140.8333,25.16,86,100,10.13,JP,1727483181
180,mount pearl,47.5166,-52.7813,11.15,91,100,3.09,CA,1727482817
181,tippi,7.2,35.45,17.92,92,99,1.41,ET,1727483183
182,ouani,-12.1322,44.4258,24.77,73,65,1.05,KM,1727483185
183,broome,42.2506,-75.833,19.28,79,100,3.09,US,1727483186
184,ambon,-3.6954,128.1814,29.08,79,40,1.54,ID,1727483128
185,vinh,18.6667,105.6667,26.02,90,25,0.87,VN,1727482952
186,fortuna,40.5982,-124.1573,15.55,88,0,5.14,US,1727482746
187,qusmuryn,52.4503,64.6311,10.29,62,3,2.57,KZ,1727483191
188,kodiak,57.79,-152.4072,11.73,62,0,4.63,US,1727482720
189,flying fish cove,-10.4217,105.6791,26.82,83,75,4.63,CX,1727482935
190,antalaha,-14.9003,50.2788,18.72,83,2,2.58,MG,1727483194
191,tagta,41.6504,59.9164,7.97,49,0,5.14,TM,1727483196
192,paragominas,-2.9667,-47.4833,24.85,80,66,2.43,BR,1727483197
193,karagandy,49.8019,73.1021,5.97,53,97,4.98,KZ,1727483198
194,tukrah,32.5341,20.5791,23.77,71,0,2.39,LY,1727483199
195,fort bragg,35.139,-79.006,26.91,76,40,2.57,US,1727482743
196,sanctuary point,-35.1114,150.629,17.08,71,97,0.76,AU,1727483202
197,calliope,-24.0,151.2,27.61,41,0,2.57,AU,1727483203
198,ganye,8.4333,12.0667,22.01,92,100,1.46,NG,1727483204
199,paciran,-6.8767,112.3761,27.97,76,66,3.55,ID,1727483206
200,saldanha,-33.0117,17.9442,13.03,89,98,2.45,ZA,1727483207
201,saudarkrokur,65.7461,-19.6394,1.7,78,94,1.09,IS,1727483208
202,qui nhon,13.7667,109.2333,26.67,82,58,1.57,VN,1727483209
203,lompoc,34.6391,-120.4579,20.23,79,12,5.14,US,1727483210
204,lebu,-37.6167,-73.65,10.54,86,100,3.82,CL,1727482801
205,bardai,11.65,7.2333,21.9,90,89,3.74,NG,1727483213
206,les sables-d'olonne,46.6667,-1.8333,10.44,80,61,5.85,FR,1727483214
207,labuan,5.2767,115.2417,28.2,89,20,0.0,MY,1727483215
208,hegang,47.4,130.3667,13.59,67,11,1.3,CN,1727483217
209,sitka,57.0531,-135.33,11.94,66,75,1.54,US,1727483218
210,taltal,-25.4,-70.4833,14.97,78,25,2.23,CL,1727483219
211,lobujya,27.95,86.8167,0.8,98,100,1.67,NP,1727483220
212,vorgashor,67.5833,63.95,9.17,86,98,5.21,RU,1727482772
213,tual,-5.6667,132.75,27.38,80,57,7.72,ID,1727483221
214,port moresby,-9.4431,147.1797,30.68,62,40,2.06,PG,1727483224
215,talavera,15.6167,120.9333,26.41,90,100,2.98,PH,1727483228
216,jayapura,-2.5333,140.7,28.66,63,31,1.56,ID,1727483229
217,talnakh,69.4865,88.3972,0.52,98,100,6.65,RU,1727483230
218,lerwick,60.1545,-1.1494,6.0,64,100,10.72,GB,1727482854
219,mandla,22.6,80.3833,23.35,97,100,3.24,IN,1727483233
220,at taj,24.2049,23.2857,25.4,37,0,4.31,LY,1727483234
221,anadyr,64.75,177.4833,4.28,60,75,3.0,RU,1727482762
222,alofi,-19.0595,-169.9187,26.94,65,75,9.26,NU,1727483236
223,brookings,44.3114,-96.7984,24.0,54,0,3.09,US,1727483238
224,simanggang,1.2472,111.4528,24.99,94,20,0.0,MY,1727483239
225,tsiombe,-25.3,45.4833,21.17,81,84,3.11,MG,1727483176
226,yoloten,37.2989,62.3597,13.6,22,32,3.76,TM,1727483241
227,sandnessjoen,66.0217,12.6316,0.29,61,67,7.4,NO,1727483242
228,nemuro,43.3236,145.575,16.17,93,100,6.02,JP,1727482523
229,tokamachi,37.1333,138.7667,22.78,92,100,0.26,JP,1727483245
230,dhidhdhoo,6.8833,73.1,27.9,79,48,6.3,MV,1727483246
231,manikchari,22.8408,91.844,23.73,98,98,0.71,BD,1727483247
232,klyuchi,52.2667,79.1667,1.84,59,5,0.14,RU,1727482728
233,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.6,GF,1727483250
234,ormond-by-the-sea,29.3491,-81.0665,28.38,70,75,1.54,US,1727483251
235,namie,37.4833,141.0,25.4,77,100,5.23,JP,1727483254
236,belel,7.05,14.4333,16.45,93,100,0.64,CM,1727483255
237,pagar alam,-4.0167,103.2667,21.81,93,75,0.44,ID,1727483256
238,daniel flores,9.3355,-83.6694,22.57,95,100,0.38,CR,1727483257
239,rabo de peixe,37.8,-25.5833,22.73,88,40,4.63,PT,1727483259
240,kirsanov,52.6549,42.7224,14.0,31,99,6.51,RU,1727483260
241,rondonopolis,-16.4708,-54.6356,29.42,44,30,2.15,BR,1727483261
242,timbuktu,16.7735,-3.0074,31.38,39,50,4.76,ML,1727483249
243,moussoro,13.6408,16.4901,31.45,31,75,2.69,TD,1727483264
244,kilindoni,-7.9139,39.6668,24.52,76,28,5.35,TZ,1727483265
245,santana,-0.0583,-51.1817,29.1,79,20,5.14,BR,1727483121
246,columbia,34.0007,-81.0348,23.71,74,0,2.06,US,1727483267
247,carnarvon,-24.8667,113.6333,17.01,51,7,8.18,AU,1727483269
248,gadzhiyevo,69.2551,33.3362,6.57,95,100,11.13,RU,1727483270
249,altamont,42.2068,-121.7372,29.32,24,0,2.57,US,1727483271
250,colonia,50.9333,6.95,11.27,86,75,4.12,DE,1727482848
251,ha giang,22.8333,104.9833,25.82,97,99,0.73,VN,1727483040
252,itaituba,-4.2761,-55.9836,26.64,71,58,0.99,BR,1727483275
253,port-vila,-17.7338,168.3219,28.78,61,75,5.14,VU,1727483204
254,namtsy,62.7161,129.6658,2.46,79,96,3.36,RU,1727482859
255,dali,25.7,100.1833,16.6,93,69,1.6,CN,1727483278
256,timmins,48.4669,-81.3331,13.9,88,0,1.03,CA,1727483280
257,ilulissat,69.2167,-51.1,3.01,93,100,0.0,GL,1727482802
258,hommersak,58.9317,5.8511,6.67,86,40,5.66,NO,1727483282
259,tambura,5.6,27.4667,21.23,89,85,0.5,SS,1727483284
260,smithers,54.7804,-127.1743,12.18,54,40,3.6,CA,1727483285
261,murghob,38.1702,73.9667,1.5,56,0,1.21,TJ,1727483286
262,chinde,26.8418,88.0763,15.72,98,100,1.7,NP,1727483287
263,sur,22.5667,59.5289,28.16,62,59,3.03,OM,1727483289
264,enewetak,11.3474,162.3373,29.07,76,9,6.16,MH,1727483290
265,konarka,19.9,86.1167,26.22,84,98,4.41,IN,1727483291
266,kidal,18.4411,1.4078,34.43,21,28,2.16,ML,1727483293
267,oroso,42.9833,-8.4333,10.91,93,20,0.51,ES,1727483294
268,fonte boa,-2.4959,-66.2662,25.05,79,79,1.11,BR,1727483295
269,ain sefra,32.75,-0.5833,24.4,42,54,2.57,DZ,1727483296
270,dunedin,-45.8742,170.5036,14.33,51,84,2.68,NZ,1727483270
271,torghay,49.6339,63.4981,10.44,42,0,3.19,KZ,1727483168
272,bandarbeyla,9.4942,50.8122,24.5,81,36,11.28,SO,1727483300
273,almansa,38.8692,-1.0971,14.88,79,11,2.74,ES,1727483301
274,susuman,62.7833,148.1667,4.93,56,100,2.13,RU,1727483303
275,woolgoolga,-30.1106,153.2007,14.97,87,100,10.99,AU,1727482860
276,benguela,-12.5763,13.4055,23.05,81,89,0.96,AO,1727483288
277,wanning,18.8003,110.3967,27.02,80,71,2.29,CN,1727483274
278,frouard,48.76,6.1316,11.56,92,75,2.06,FR,1727483307
279,wotho,10.1657,166.0102,28.62,78,33,5.75,MH,1727483309
280,saint-francois,46.4154,3.9054,11.69,90,100,3.6,FR,1727483310
281,san luis de la loma,17.2706,-100.8939,23.89,96,100,2.9,MX,1727483311
282,vanimo,-2.6741,141.3028,29.53,66,48,2.0,PG,1727483312
283,mount isa,-20.7333,139.5,26.87,13,0,4.63,AU,1727483314
284,puerto aysen,-45.4,-72.7,4.67,100,100,2.05,CL,1727483315
285,east london,-33.0153,27.9116,17.58,80,100,6.73,ZA,1727482758
286,buala,-8.145,159.5921,28.73,71,97,3.29,SB,1727483317
287,jieyang,23.5289,116.3642,28.96,83,43,0.21,CN,1727483320
288,ozubulu,5.9567,6.849,23.02,96,100,1.26,NG,1727483323
